Smithy	/images/building/smithy.png		
Robust Axe	/images/product/smithy/axe.png	30s	2 Roll Cake
Tempered Pickaxe	/images/product/smithy/pickaxe.png	3m	3 Roll Cake, 3 Sugar Cube
Candy Saw	/images/product/smithy/saw.png	7m	6 Roll Cake, 5 Sugar Cube
Diggy Shovel	/images/product/smithy/shovel.png	15m	10 Roll Cake, 10 Sugar Cube
Enchanted Stake	/images/product/smithy/stake.png	1h	15 Roll Cake, 15 Sugar Cube
Enchanted Tongs	/images/product/smithy/tongs.png	3h	22 Roll Cake, 18 Sugar Cube
Indestructible Glazed Hammer	/images/product/smithy/hammer.png	6h	30 Roll Cake, 35 Sugar Cube
			
Jammery	/images/building/jammery.png		
Jellybean Jam	/images/product/jammery/jellybean_jam.png	1m 30s	3 Jellybean
Sweet Jelly Jam	/images/product/jammery/sweet_jelly_jam.png	8m	6 Jellybean
Toffe Jam	/images/product/jammery/toffe_jam.png	20m	6 Jellybean, 1 Jellyberry
Pomegranate Jam	/images/product/jammery/pomegranate_jam.png	2h	1 Jellybean Latte, 1 Cotton Candy Wool
Sparkleberry Jam	/images/product/jammery/sparkleberry_jam.png	6h	20 Jellybean, 3 Cotton Candy Wool
			
Carpentry Shop	/images/building/carpentry.png		
Pinecone Birdy Toy	/images/product/carpentry/pinecone_birdy_toy.png	5m	6 Roll Cake
Acorn Lamp	/images/product/carpentry/acorn_lamp.png	22m	12 Roll Cake, 3 Jellyberry
Cuckoo Clock	/images/product/carpentry/cuckoo_clock.png	2h	8 Biscuit Flour, 3 Toffe Jam
Swan Feather Dreamcatcher	/images/product/carpentry/swan_feather_dreamcatcher.png	3h 30m	1 Fluffy Omurice, 1 Cotton Candy Wool
			
Bakery	/images/building/bakery.png		
Hearty Rye	/images/product/bakery/hearty_rye.png	12m	1 Jellybean Jam, 2 Biscuit Flour
Tart Jampie	/images/product/bakery/tart_jampie.png	20m	6 Jellybean, 3 Biscuit Flour
Ginkgo Focaccia	/images/product/bakery/ginkgo_focaccia.png	30m	6 Biscuit Flour, 1 Acorn Lamp
Glazed Donuts	/images/product/bakery/glazed_donuts.png	1h	5 Biscuit Flour, 1 Shiny Glass
Fluffy Castella	/images/product/bakery/fluffy_castella.png	3h	20 Sugar Cube, 8 Milk
Golden Croissant	/images/product/bakery/golden_croissant.png	6h	15 Milk, 1 Butter
			
Jampie Diner	/images/building/jampie_diner.png		
Hot Jelly Stew	/images/product/jampie_diner/hot_jelly_stew.png	18m	4 Jellybean, 1 Jellyberry
Bear Jelly Burger	/images/product/jampie_diner/bear_jelly_burger.png	22m	10 Jellybean, 1 Tart Jampie
Candy Pasta	/images/product/jampie_diner/candy_pasta.png	50m	7 Biscuit Flour, 1 Cream
Fluffy Omurice	/images/product/jampie_diner/fluffy_omurice.png	1h 30m	6 Jellyberry, 1 Ginkgo Focaccia
Jelly Deluxe Pizza	/images/product/jampie_diner/jelly_deluxe_pizza.png	3h 30m	8 Jellyberry, 4 Candy Flower
Fancy Jellybean Meal	/images/product/jampie_diner/fancy_jellybean_meal.png	7h	25 Jellybean, 3 Lollipop Flower Basket
			
Artisan's Workshop	/images/building/artisans_workshop.png		
Biscuit Planter	/images/product/artisans_workshop/biscuit_planter.png	15m	2 Pinecone Birdy Toy, 4 Biscuit Flour
Shiny Glass	/images/product/artisans_workshop/shiny_glass.png	27m	12 Sugar Cube, 1 Hot Jelly Stew
Gleamy Bead	/images/product/artisans_workshop/gleamy_bead.png	2h	1 Bear Jelly Burger, 1 Cotton Candy Wool
Colorful Bowl	/images/product/artisans_workshop/colorful_bowl.png	5h	24 Sugar Cube, 2 Pomegranate Jam
			
Flower Shop	/images/building/flower_shop.png		
Candy Flower	/images/product/flower_shop/candy_flower.png	20m	2 Jellyberry, 1 Biscuit Flour
Happy Planter	/images/product/flower_shop/happy_planter.png	30m	10 Sugar Cube, 4 Jellyberry
Candy Bouquet	/images/product/flower_shop/candy_bouquet.png	1h	5 Jellyberry, 1 Candy Pasta
Lollipop Flower Basket	/images/product/flower_shop/lollipop_flower_basket.png	2h 30m	18 Jellybean, 3 Hearty Rye
Bell-Flower Bouquet	/images/product/flower_shop/bell-flower_bouquet.png	4h 30m	20 Jellybean, 2 Cloud Pillow
Glittering Yogurt Wreath	/images/product/flower_shop/glittering_yogurt_wreath.png	7h 30m	30 Jellybean, 2 Jelly Deluxe Pizza
			
Dairy Factory	/images/building/dairy_factory.png		
Cream	/images/product/dairy_factory/cream.png	29m	1 Sweet Jelly Jam, 2 Milk
Butter	/images/product/dairy_factory/butter.png	2h 30m	15 Sugar Cube, 5 Milk
Homemade Cheese	/images/product/dairy_factory/homemade_cheese.png	4h30m	10 Milk, 1 Cuckoo Clock
			
Latte Cafe	/images/building/latte_cafe.png		
Jellybean Latte	/images/product/latte_cafe/jellybean_latte.png	1h	12 Jellybean, 2 Milk
Bubbly Boba	/images/product/latte_cafe/bubbly_boba.png	3h	1 Glazed Donuts, 1 Cotton Candy Wool
Sweetberry Juice	/images/product/latte_cafe/sweetberry_juice.png	6h 30m	10 Jellyberry, 2 Gleamy Bead
			
Toy Store	/images/building/toy_store.png		
Cloud Pillow	/images/product/toy_store/cloud_pillow.png	1h 30m	8 Biscuit Flour, 1 Cotton Candy Wool
Bear Jelly Toy	/images/product/toy_store/bear_jelly_toy.png	4h	2 Candy Bouquet, 1 Cotton Candy Wool
Pitaya Dragon Toy	/images/product/toy_store/pitaya_dragon_toy.png	7h	2 Cotton Candy Wool, 2 Cream Root Beer
			
Barrel Inn	/images/building/barrel_inn.png		
Cream Root Beer	/images/product/barrel_inn/cream_root_beer.png	2h 30m	10 Biscuit Flour, 1 Happy Planter
Redberry Juice	/images/product/barrel_inn/redberry_juice.png	6h 30m	12 Jellyberry, 1 Bear Jelly Toy
Vintage Root Bottle	/images/product/barrel_inn/vintage_root_bottle.png	8h	50 Roll Cake, 1 Spooky Muffin
			
Maison du Cake	/images/building/maison_du_cake.png		
Spooky Muffin	/images/product/maison_du_cake/spooky_muffin.png	3h30m	12 Biscuit Flour, 7 Milk
Strawberry Cake	/images/product/maison_du_cake/strawberry_cake.png	6h	14 Biscuit Flour, 2 Bubbly Boba
Party Cake	/images/product/maison_du_cake/party_cake.png	8h	18 Biscuit Flour, 2 Homemade Cheese
			
Jewelry Salon	/images/building/jewelry_salon.png		
Glazed Ring	/images/product/jewelry_salon/glazed_ring.png	4h30m	12 Biscuit Flour, 1 Fluffy Castella
Rubyberry Brooch	/images/product/jewelry_salon/rubyberry_brooch.png	7h	16 Jellyberry, 1 Swan Feather Dreamcatcher
Bear Jelly Crown	/images/product/jewelry_salon/bear_jelly_crown.png	7h30m	3 Cotton Candy Wool, 1 Bell-Flower Bouquet